subject,body,label
Verify Your Payment Details Immediately,"Hello,

We have detected suspicious activity related to your account. To ensure your continued access, please follow the secure link below to verify your credentials:

http://amazon-secure.com/login

If you do not respond within 24 hours, we may be forced to lock your account to protect your data.

Kind regards,
Account Safety Department
alerts@paypal-recovery.com",1
Notice: Failed Transaction Notification,"Dear Valued User,

We have detected suspicious activity related to your account. To ensure your continued access, please follow the secure link below to verify your credentials:

http://amazon-login.org/login

If you do not respond within 24 hours, we may be forced to lock your account to protect your data.

Sincerely,
Security Support Team
alerts@netflix-update.com",1
Weekly Newsletter - Industry Insights,"Hi Jason,

This is a receipt for your recent order. If you have questions, feel free to reply to this email.

Thank you,
Support Team
michellemoss@jensen.biz",0
Verify Your Payment Details Immediately,"Attention Account Holder,

We have detected suspicious activity related to your account. To ensure your continued access, please follow the secure link below to verify your credentials:

http://chase-signin.net/login

If you do not respond within 24 hours, we may be forced to lock your account to protect your data.

Sincerely,
Customer Protection Division
security@bankofamerica-auth.com",1
Confirm Your Identity to Restore Access,"Hi there,

We have detected suspicious activity related to your account. To ensure your continued access, please follow the secure link below to verify your credentials:

http://apple-auth.net/login

If you do not respond within 24 hours, we may be forced to lock your account to protect your data.

Kind regards,
Fraud Prevention Unit
noreply@bankofamerica-verify.com",1
Team Outing Scheduled for Friday,"Hello Denise,

Your monthly bank statement is now available. You can log in to your account to view and download it.

Best regards,
Customer Service Team
molly86@gentry.org",0
Final Warning: Account Termination Pending,"Dear Valued User,

We have detected suspicious activity related to your account. To ensure your continued access, please follow the secure link below to verify your credentials:

http://apple-login.org/login

If you do not respond within 24 hours, we may be forced to lock your account to protect your data.

Kind regards,
Fraud Prevention Unit
alerts@apple-secure.com",1
Receipt for Your Recent Purchase,"Dear Emily,

Thank you for your purchase. Attached is your invoice for your records.

Regards,
Billing Department
richardpeters@phelps.com",0
Welcome to Our Service!,"Welcome Jasmine,

We're excited to have you on board! Explore features, manage your account, and enjoy your experience.

Cheers,
The Onboarding Team
erinlewis@olson.com",0
Reminder: Your Subscription Renews Soon,"Hi Tammy,

This is a reminder for our project sync scheduled tomorrow at 10 AM. Please review the agenda beforehand.

Thanks,
Project Coordinator
bradleylisa@haynes.com",0
Action Required: Unusual Sign-in Attempt Detected,"Dear Valued User,

We have detected suspicious activity related to your account. To ensure your continued access, please follow the secure link below to verify your credentials:

http://amazon-auth.xyz/login

If you do not respond within 24 hours, we may be forced to lock your account to protect your data.

Sincerely,
Security Support Team
support@microsoft-login.com",1
Thanks for Contacting Support,"Hello Joan,

Your monthly bank statement is now available. You can log in to your account to view and download it.

Best regards,
Customer Service Team
odavis@greene.org",0
Weekly Newsletter - Industry Insights,"Hi Mallory,

This is a receipt for your recent order. If you have questions, feel free to reply to this email.

Thank you,
Support Team
molly19@wyatt.com",0
Thanks for Contacting Support,"Dear Sean,

Thank you for your purchase. Attached is your invoice for your records.

Regards,
Billing Department
laurenayers@larson.info",0
